status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5210828.95681,-7910643.4529,,,,,2016-02-08,02:05:53,,,,,,
,,,,,,5218264.38979,-7906342.6081,,,,,2016-02-08,02:26:22,,,,,,
,,,,,,5212399.26404,-7911013.1256,,,,,2016-02-08,08:42:37,,,,,,
,,,,,,5213639.58096,-7914308.64935,,,,,2016-02-08,09:15:42,,,,,,
,,,,,,5203661.59568,-7913874.41372,,,,,2016-02-09,01:00:46,,,,,,
,,,,,,5211177.13193,-7915362.73584,,,,,2016-02-09,02:39:25,,,,,,
,,,,,,5202165.65822,-7915874.92095,,,,,2016-02-09,08:40:56,,,,,,
,,,,,,5209414.79539,-7909138.55244,,,,,2016-02-09,10:18:59,,,,,,
,,,,,,5213036.83572,-7913748.67342,,,,,2016-02-09,10:22:39,,,,,,
,,,,,,5208626.49495,-7911154.96259,,,,,2016-02-09,01:30:56,,,,,,
,,,,,,5212918.59183,-7914972.38504,,,,,2016-02-09,02:25:16,,,,,,
,,,,,,5218637.68718,-7912230.64205,,,,,2016-02-09,03:18:34,,,,,,
,,,,,,5206261.6416,-7917970.97197,,,,,2016-02-09,06:01:17,,,,,,
,,,,,,5209110.22081,-7910530.90443,,,,,2016-02-09,08:44:57,,,,,,
,,,,,,5205867.34728,-7912101.1815,,,,,2016-02-09,10:10:12,,,,,,
,,,,,,5215764.22773,-7918812.66716,,,,,2016-02-09,11:21:03,,,,,,
